Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
Welcome to the Punch,2013,"Action, Crime, Thriller",6.1,48,49,5.8,"34,967",2 wins,"$9,747",movie,Domestic
Only God Forgives,2013,"Action, Crime, Drama",5.7,41,37,5.8,"119,352",14 wins & 20 nominations,"$779,188",movie,Domestic
Devils of War,2013,"Action, Horror",2.0,,,,,,,,Foreign
Movie 43,2013,Comedy,4.4,5,18,4.6,"114,038",4 wins & 5 nominations,"$8,840,453",movie,Foreign
The Haunting in Connecticut 2: Ghosts of Georgia,2013,"Drama, Horror, Mystery",5.3,19,26,5.9,"18,449",N/A,N/A,movie,Foreign
The Call,2013,"Drama, Thriller",6.7,44,51,6.8,"130,839",1 win & 11 nominations,"$51,872,378",movie,Foreign
Crush,2013,"Horror, Thriller",5.6,,,,,,,,Foreign
Hansel & Gretel: Witch Hunters,2013,"Action, Fantasy, Horror",6.1,16,23,6.057,"218,843",3 wins & 4 nominations,"$55,703,475",movie,Foreign
The Purge,2013,"Horror, Sci-Fi, Thriller",5.7,40,41,6.3,"243,740",2 wins & 6 nominations,"$64,473,115",movie,Foreign
Snitch,2013,"Action, Drama, Thriller",6.4,58,51,6.1,"93,435",1 nomination,"$42,930,462",movie,Foreign
The Godfather Part II,1974,"Crime, Drama",9.0,96,90,8.575,"1,387,339",Won 6 Oscars. 17 wins & 21 nominations total,"$47,834,595",movie,Foreign
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,93,84,8.416,"1,088,637",Won 5 Oscars. 38 wins & 15 nominations total,"$108,981,275",movie,Foreign
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.7,95,82,8.4,"1,400,371",Won 1 Oscar. 27 wins & 20 nominations total,"$292,753,960",movie,Foreign
Raiders of the Lost Ark,1981,"Action, Adventure",8.4,93,85,7.9,"1,050,118",Won 4 Oscars. 38 wins & 24 nominations total,"$248,159,971",movie,Foreign
Apocalypse Now,1979,"Drama, Mystery, War",8.4,97,94,8.3,"720,087",Won 2 Oscars. 21 wins & 33 nominations total,"$96,042,913",movie,Foreign
Alien,1979,"Horror, Sci-Fi",8.5,93,89,8.157,"978,948",Won 1 Oscar. 19 wins & 22 nominations total,"$84,206,106",movie,Domestic
Blade Runner,1982,"Action, Drama, Sci-Fi",8.1,89,84,7.939,"834,912",Nominated for 2 Oscars. 13 wins & 22 nominations total,"$32,914,489",movie,Foreign
E.T. the Extra-Terrestrial,1982,"Adventure, Family, Sci-Fi",7.9,99,92,7.518,"444,001",Won 4 Oscars. 52 wins & 38 nominations total,"$439,454,989",movie,Foreign
The Outsiders,1983,"Crime, Drama",7.0,70,45,7.214,"100,333",1 win & 4 nominations,"$25,837,195",movie,Foreign
Scarface,1983,"Crime, Drama",8.3,79,65,8.166,"935,341",8 nominations,"$45,967,303",movie,Foreign
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3,82,58,7.9,"1,138,211",Nominated for 4 Oscars. 25 wins & 23 nominations total,"$316,566,101",movie,Foreign
Ghostbusters,1984,"Action, Comedy, Fantasy",7.8,95,71,7.49,"459,842",Nominated for 2 Oscars. 9 wins & 9 nominations total,"$243,578,797",movie,Foreign
Red Dawn,1984,"Action, Drama, Thriller",6.3,50,53,6.3,"64,241",1 nomination,"$38,376,497",movie,Foreign
The Terminator,1984,"Action, Adventure, Sci-Fi",8.1,100,84,7.659,"939,368",8 wins & 7 nominations,"$38,371,200",movie,Domestic
Full Metal Jacket,1987,"Drama, War",8.2,90,78,8.131,"802,699",Nominated for 1 Oscar. 8 wins & 15 nominations total,"$46,357,676",movie,Domestic
Die Hard,1988,"Action, Thriller",8.2,94,72,7.8,"959,343",Nominated for 4 Oscars. 8 wins & 8 nominations total,"$85,892,546",movie,Foreign
Léon: The Professional,1994,"Action, Crime, Drama",8.5,75,64,8.307,"1,267,391",5 wins & 16 nominations,"$19,501,238",movie,Domestic
The Usual Suspects,1995,"Crime, Drama, Mystery",8.5,87,77,8.183,"1,161,294",Won 2 Oscars. 37 wins & 17 nominations total,"$23,341,568",movie,Domestic
Heat,1995,"Action, Crime, Drama",8.3,83,76,7.9,"731,145",15 nominations,"$67,436,818",movie,Foreign
Independence Day,1996,"Action, Adventure, Sci-Fi",7.0,68,59,6.9,"615,977",Won 1 Oscar. 35 wins & 35 nominations total,"$306,169,268",movie,Foreign
Good Will Hunting,1997,"Drama, Romance",8.3,97,70,8.158,"1,094,535",Won 2 Oscars. 25 wins & 61 nominations total,"$138,433,435",movie,Foreign
Armageddon,1998,"Action, Adventure, Sci-Fi",6.7,43,42,6.8,"456,662",Nominated for 4 Oscars. 15 wins & 40 nominations total,"$201,578,182",movie,Foreign
The Truman Show,1998,"Comedy, Drama",8.2,94,90,8.143,"1,227,789",Nominated for 3 Oscars. 40 wins & 69 nominations total,"$125,618,201",movie,Foreign
American Beauty,1999,Drama,8.3,87,84,8.018,"1,223,188",Won 5 Oscars. 112 wins & 102 nominations total,"$130,096,601",movie,Foreign
Big Daddy,1999,"Comedy, Drama",6.4,39,41,6.477,"238,106",8 wins & 14 nominations,"$163,479,795",movie,Foreign
The Green Mile,1999,"Crime, Drama, Fantasy",8.6,79,61,8.506,"1,433,920",Nominated for 4 Oscars. 15 wins & 37 nominations total,"$136,801,374",movie,Foreign
The Mummy,1999,"Action, Adventure, Fantasy",7.1,62,48,6.937,"468,984",Nominated for 1 Oscar. 5 wins & 24 nominations total,"$157,095,368",movie,Foreign
Office Space,1999,Comedy,7.6,81,68,7.4,"292,581",1 win & 2 nominations,"$10,827,810",movie,Foreign
The Sixth Sense,1999,"Drama, Mystery, Thriller",8.2,86,64,8.0,"1,068,646",Nominated for 6 Oscars. 37 wins & 56 nominations total,"$293,506,292",movie,Foreign
Toy Story 2,1999,"Animation, Adventure, Comedy",7.9,100,88,7.598,"630,573",Nominated for 1 Oscar. 21 wins & 27 nominations total,"$245,852,179",movie,Foreign
American Psycho,2000,"Crime, Drama, Horror",7.6,68,64,7.4,"739,172",7 wins & 11 nominations,"$15,070,285",movie,Foreign
Scary Movie,2000,Comedy,6.3,51,48,6.352,"292,408",7 wins & 6 nominations,"$157,019,771",movie,Foreign
Snatch,2000,"Comedy, Crime",8.2,74,55,7.811,"923,603",4 wins & 7 nominations,"$30,328,156",movie,Domestic
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",8.1,96,79,7.8,"995,954",Won 1 Oscar. 15 wins & 38 nominations total,"$290,642,256",movie,Foreign
Men in Black II,2002,"Action, Adventure, Comedy",6.2,38,49,6.4,"409,728",4 wins & 16 nominations,"$193,735,288",movie,Foreign
Red Dragon,2002,"Crime, Drama, Thriller",7.2,69,60,7.025,"295,528",4 wins & 10 nominations,"$93,149,898",movie,Domestic
Spider-Man,2002,"Action, Adventure, Sci-Fi",7.4,90,73,7.3,"896,821",Nominated for 2 Oscars. 17 wins & 65 nominations total,"$407,774,549",movie,Foreign
Spirited Away,2001,"Animation, Adventure, Family",8.6,96,96,8.537,"869,769",Won 1 Oscar. 58 wins & 31 nominations total,"$15,205,725",movie,Domestic
Star Wars: Episode II - Attack of the Clones,2002,"Action, Adventure, Fantasy",6.6,65,54,6.6,"771,629",Nominated for 1 Oscar. 21 wins & 71 nominations total,"$310,676,740",movie,Foreign
The Italian Job,2003,"Action, Crime, Thriller",7.0,72,68,6.8,"393,234",7 wins & 9 nominations,"$106,128,601",movie,Foreign
The Matrix Reloaded,2003,"Action, Sci-Fi",7.2,73,62,7.1,"639,539",8 wins & 34 nominations,"$281,576,461",movie,Foreign
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",8.1,80,63,7.8,"1,229,934",Nominated for 5 Oscars. 38 wins & 104 nominations total,"$305,413,918",movie,Foreign
Big Fish,2003,"Adventure, Drama, Fantasy",8.0,76,58,7.76,"462,003",Nominated for 1 Oscar. 69 nominations total,"$66,809,693",movie,Foreign
Kill Bill: Vol. 1,2003,"Action, Crime, Thriller",8.2,85,69,7.971,"1,214,597",Nominated for 5 BAFTA 30 wins & 103 nominations total,"$70,099,045",movie,Foreign
Dodgeball: A True Underdog Story,2004,"Comedy, Sport",6.7,71,55,6.353,"271,278",2 wins & 9 nominations,"$114,326,736",movie,Domestic
EuroTrip,2004,Comedy,6.6,45/10,45,6.596,"226,161",2 nominations,"$17,771,387",movie,Foreign
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",7.9,90,82,8.0,"705,236",Nominated for 2 Oscars. 17 wins & 56 nominations total,"$250,105,651",movie,Domestic
The Incredibles,2004,"Animation, Action, Adventure",8.0,90/10,90,7.71,"825,347",Won 2 Oscars. 69 wins & 56 nominations total,"$261,441,092",movie,Foreign
Napoleon Dynamite,2004,Comedy,7.0,72,64,6.8,"242,092",10 wins & 23 nominations,"$44,540,956",movie,Foreign
Shaun of the Dead,2004,"Comedy, Horror",7.9,92,76,7.5,"603,491",Nominated for 3 BAFTA 14 wins & 20 nominations total,"$14,332,569",movie,Domestic
Crash,2004,"Crime, Drama, Thriller",7.7,74,66,7.2,"451,334",Won 3 Oscars. 66 wins & 112 nominations total,"$54,580,300",movie,Foreign
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family, Fantasy",6.9,75,75,7.1,"434,116",Won 1 Oscar. 18 wins & 46 nominations total,"$291,710,957",movie,Domestic
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",7.7,88,81,7.8,"693,849",Nominated for 1 Oscar. 13 wins & 48 nominations total,"$290,469,928",movie,Domestic
Cars,2006,"Animation, Adventure, Comedy",7.2,75,73,6.978,"481,669",Nominated for 2 Oscars. 28 wins & 34 nominations total,"$244,082,982",movie,Foreign
Pan's Labyrinth,2006,"Drama, Fantasy, War",8.2,95,98,7.758,"711,376",Won 3 Oscars. 109 wins & 115 nominations total,"$37,646,380",movie,Foreign
Superman Returns,2006,"Action, Adventure, Sci-Fi",6.1,74,72,5.77,"293,144",Nominated for 1 Oscar. 12 wins & 47 nominations total,"$200,081,192",movie,Foreign
Talladega Nights: The Ballad of Ricky Bobby,2006,"Comedy, Sport",6.6,71,66,6.4,"203,289",8 wins & 9 nominations,"$148,213,377",movie,Foreign
X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",6.6,57,58,6.4,"550,959",7 wins & 40 nominations,"$234,362,462",movie,Foreign
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",8.0,92,85,7.43,"663,978",Won 3 Oscars. 29 wins & 42 nominations total,"$227,471,070",movie,Foreign
Live Free or Die Hard,2007,"Action, Thriller",7.1,82,69,6.622,"423,618",3 wins & 16 nominations,"$134,529,403",movie,Foreign
No Country for Old Men,2007,"Crime, Drama, Thriller",8.2,93,92,7.945,"1,081,300",Won 4 Oscars. 164 wins & 139 nominations total,"$74,283,625",movie,Foreign
Ratatouille,2007,"Animation, Adventure, Comedy",8.1,96,96,7.823,"846,549",Won 1 Oscar. 68 wins & 42 nominations total,"$206,445,654",movie,Foreign
Superbad,2007,Comedy,7.6,88,76,7.252,"642,961",11 wins & 24 nominations,"$121,463,226",movie,Foreign
There Will Be Blood,2007,Drama,8.2,91,93,8.081,"650,544",Won 2 Oscars. 114 wins & 138 nominations total,"$40,222,514",movie,Foreign
Jumper,2008,"Action, Adventure, Sci-Fi",6.1,15,35,6.157,"326,701",2 wins & 5 nominations,"$80,172,128",movie,Domestic
Gran Torino,2008,Drama,8.1,81,72,7.991,"824,072",21 wins & 22 nominations,"$148,095,302",movie,Domestic
The Incredible Hulk,2008,"Action, Adventure, Sci-Fi",6.6,67,61,6.2,"531,353",2 wins & 10 nominations,"$134,806,913",movie,Foreign
Pineapple Express,2008,"Action, Comedy, Crime",6.9,64/10,64,6.636,"360,966",2 wins & 15 nominations,"$87,341,380",movie,Foreign
RocknRolla,2008,"Action, Crime, Thriller",7.2,60,53,7.0,"267,453",1 win & 5 nominations,"$5,700,626",movie,Domestic
Role Models,2008,Comedy,6.8,77,61,6.5,"243,171",1 win & 4 nominations,"$67,294,270",movie,Foreign
Step Brothers,2008,Comedy,6.9,55,51,6.6,"324,099",3 wins & 2 nominations,"$100,468,793",movie,Foreign
Wanted,2008,"Action, Crime, Thriller",6.7,71,64,6.527,"413,228",Nominated for 2 Oscars. 4 wins & 25 nominations total,"$134,508,551",movie,Foreign
District 9,2009,"Action, Sci-Fi, Thriller",7.9,90,81,7.447,"724,398",Nominated for 4 Oscars. 32 wins & 117 nominations total,"$115,646,235",movie,Domestic
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",7.6,84,78,7.7,"606,993",Nominated for 1 Oscar. 9 wins & 39 nominations total,"$302,334,374",movie,Domestic
Law Abiding Citizen,2009,"Action, Crime, Drama",7.4,26,34,7.389,"325,160",3 wins & 5 nominations,"$73,357,727",movie,Foreign
Terminator Salvation,2009,"Action, Adventure, Sci-Fi",6.5,33,49,6.1,"380,748",2 wins & 14 nominations,"$125,322,469",movie,Foreign
Transformers: Revenge of the Fallen,2009,"Action, Adventure, Sci-Fi",6.0,20,35,6.192,"433,406",Nominated for 1 Oscar. 15 wins & 31 nominations total,"$402,111,870",movie,Foreign
Watchmen,2009,"Action, Drama, Mystery",7.6,65,56,7.3,"589,519",12 wins & 24 nominations,"$107,509,799",movie,Foreign
Sherlock Holmes,2009,"Action, Adventure, Mystery",7.6,70,57,7.214,"679,244",Nominated for 2 Oscars. 10 wins & 31 nominations total,"$209,028,679",movie,Foreign
The A-Team,2010,"Action, Adventure, Crime",6.7,49,47,6.4,"270,620",2 wins & 4 nominations,"$77,222,099",movie,Foreign
Alice in Wonderland,2010,"Adventure, Family, Fantasy",6.4,51,53,6.639,"446,781",Won 2 Oscars. 35 wins & 63 nominations total,"$334,191,110",movie,Foreign
Black Swan,2010,"Drama, Thriller",8.0,85,79,7.7,"838,752",Won 1 Oscar. 98 wins & 279 nominations total,"$106,954,678",movie,Foreign
The Book of Eli,2010,"Action, Adventure, Drama",6.8,47,53,6.8,"344,270",3 wins & 16 nominations,"$94,835,059",movie,Foreign
Clash of the Titans,2010,"Action, Adventure, Fantasy",5.8,27,39,5.9,"294,890",4 wins & 14 nominations,"$163,214,888",movie,Foreign
Due Date,2010,"Comedy, Drama",6.5,40,51,6.373,"360,448",7 nominations,"$100,539,043",movie,Foreign
The Expendables,2010,"Action, Adventure, Thriller",6.4,42,45,6.246,"368,261",3 wins & 5 nominations,"$103,068,524",movie,Foreign
Get Him to the Greek,2010,"Comedy, Music",6.3,72,65,5.977,"186,605",1 win & 14 nominations,"$60,974,475",movie,Foreign
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",7.7,77,65,7.751,"611,286",Nominated for 2 Oscars. 15 wins & 55 nominations total,"$296,374,621",movie,Domestic
The Other Guys,2010,"Action, Comedy, Crime",6.6,79,64,6.308,"293,005",3 wins & 15 nominations,"$119,219,978",movie,Foreign
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Family, Fantasy",5.9,49,47,6.213,"205,923",11 nominations,"$88,768,303",movie,Domestic
Robin Hood,2010,"Action, Adventure, Drama",6.6,44,53,6.392,"285,919",1 win & 14 nominations,"$105,269,730",movie,Foreign
Salt,2010,"Action, Thriller",6.5,62,65,6.418,"332,662",Nominated for 1 Oscar. 4 wins & 16 nominations total,"$118,311,368",movie,Foreign
The Town,2010,"Crime, Drama, Thriller",7.5,92,74,7.217,"421,658",Nominated for 1 Oscar. 9 wins & 46 nominations total,"$92,186,262",movie,Foreign
Bad Teacher,2011,"Comedy, Romance",5.7,45,47,5.595,"214,506",6 wins & 4 nominations,"$100,292,856",movie,Foreign
Battle Los Angeles,2011,"Action, Adventure, Sci-Fi",5.7,37,37,5.8,"185,984",1 win & 4 nominations,"$83,552,429",movie,Foreign
Cars 2,2011,"Animation, Adventure, Comedy",6.2,39,57,6.1,"224,412",1 win & 19 nominations,"$191,452,396",movie,Foreign
The Change-Up,2011,"Comedy, Fantasy",6.3,26,39,6.2,"198,473",1 nomination,"$37,081,475",movie,Foreign
Cowboys & Aliens,2011,"Action, Drama, Sci-Fi",6.0,44,50,5.613,"234,462",1 win & 17 nominations,"$100,240,551",movie,Foreign
Green Lantern,2011,"Action, Adventure, Sci-Fi",5.5,26,39,5.2,"299,293",3 wins & 6 nominations,"$116,601,172",movie,Foreign
The Hangover Part II,2011,Comedy,6.5,34,44,6.483,"541,061",5 wins & 18 nominations,"$254,464,305",movie,Foreign
Horrible Bosses,2011,"Comedy, Crime",6.9,69,57,6.574,"472,871",3 wins & 14 nominations,"$117,538,559",movie,Foreign
I Am Number Four,2011,"Action, Adventure, Sci-Fi",6.1,33,36,6.178,"248,014",1 win & 1 nomination,"$55,100,437",movie,Foreign
Paul,2011,"Adventure, Comedy, Sci-Fi",6.9,70,57,6.7,"269,423",2 wins & 9 nominations,"$37,412,945",movie,Foreign
Rio,2011,"Animation, Adventure, Comedy",6.9,72,63,6.7,"253,239",Nominated for 1 Oscar. 3 wins & 31 nominations total,"$143,619,809",movie,Foreign
Rise of the Planet of the Apes,2011,"Action, Drama, Sci-Fi",7.6,82,68,7.327,"582,809",Nominated for 1 Oscar. 21 wins & 43 nominations total,"$176,760,185",movie,Foreign
Scream 4,2011,"Horror, Mystery",6.2,60,52,6.459,"174,270",1 win & 6 nominations,"$38,180,928",movie,Foreign
Source Code,2011,"Action, Drama, Mystery",7.5,92,74,7.304,"557,292",1 win & 8 nominations,"$54,712,227",movie,Foreign
Sucker Punch,2011,"Action, Adventure, Fantasy",6.1,22,33,6.2,"254,409",1 win & 11 nominations,"$36,392,502",movie,Foreign
50/50,2011,"Comedy, Drama, Romance",7.6,93,72,7.176,"345,309",12 wins & 28 nominations,"$35,014,192",movie,Foreign
Contagion,2011,"Drama, Thriller",6.8,85,70,6.6,"319,251",2 wins & 14 nominations,"$75,658,097",movie,Domestic
The Descendants,2011,"Comedy, Drama",7.3,87,84,6.8,"253,972",Won 1 Oscar. 65 wins & 148 nominations total,"$82,584,160",movie,Foreign
The Ides of March,2011,"Drama, Thriller",7.1,83,67,6.7,"232,644",Nominated for 1 Oscar. 9 wins & 36 nominations total,"$40,962,534",movie,Foreign
Immortals,2011,"Action, Drama, Fantasy",6.0,49,46,6.0,"178,014",1 win & 6 nominations,"$83,504,017",movie,Foreign
Real Steel,2011,"Action, Drama, Sci-Fi",7.1,60,56,7.025,"362,968",Nominated for 1 Oscar. 2 wins & 6 nominations total,"$85,468,508",movie,Foreign
Sherlock Holmes: A Game of Shadows,2011,"Action, Adventure, Mystery",7.4,60,48,7.1,"485,269",3 wins & 10 nominations,"$186,848,418",movie,Foreign
Tinker Tailor Soldier Spy,2011,"Drama, Mystery, Thriller",7.0,84,85,6.6,"214,438",Nominated for 3 Oscars. 35 wins & 100 nominations total,"$24,149,393",movie,Domestic
We Bought a Zoo,2011,"Comedy, Drama, Family",7.0,65,58,6.8,"153,649",1 win & 8 nominations,"$75,624,550",movie,Foreign
Abraham Lincoln: Vampire Hunter,2012,"Action, Fantasy, Horror",5.9,34,42,5.7,"162,941",1 nomination,"$37,519,139",movie,Foreign
Alex Cross,2012,"Action, Crime, Mystery",5.2,11,30,5.2,"35,689",4 nominations,"$25,888,412",movie,Foreign
Chasing Mavericks,2012,"Biography, Drama, Sport",7.1,33,45,7.024,"34,838",N/A,"$6,002,756",movie,Foreign
Chernobyl Diaries,2012,"Horror, Mystery, Thriller",5.0,17,N/A,5.3,"69,023",1 nomination,"$18,119,640",movie,Foreign
Chronicle,2012,"Action, Drama, Sci-Fi",7.0,85,69,6.8,"266,728",2 wins & 7 nominations,"$64,575,175",movie,Foreign
The Collection,2012,"Action, Horror, Thriller",6.1,37,38,6.4,"54,979",N/A,"$6,842,058",movie,Foreign
Contraband,2012,"Action, Adventure, Crime",6.4,51,51,6.3,"126,977",1 win,"$66,528,000",movie,Foreign
The Dictator,2012,Comedy,6.5,56,58,6.194,"341,383",1 win & 1 nomination,"$59,650,222",movie,Foreign
Fun Size,2012,"Adventure, Comedy, Crime",5.4,25,37,5.6,"15,392",N/A,"$9,409,538",movie,Foreign
The Grey,2011,"Action, Adventure, Drama",6.7,80,64,6.6,"265,857",2 wins & 8 nominations,"$51,580,236",movie,Foreign
Haywire,2011,"Action, Drama, Thriller",5.8,80,67,5.695,"90,339",7 nominations,"$18,942,396",movie,Domestic
House at the End of the Street,2012,"Drama, Horror, Mystery",5.5,12,31,5.8,"81,949",1 win & 3 nominations,"$31,611,916",movie,Foreign
Ice Age: Continental Drift,2012,"Animation, Adventure, Comedy",6.5,37,49,6.4,"228,989",2 wins & 11 nominations,"$161,321,843",movie,Foreign
Lockout,2012,"Action, Sci-Fi, Thriller",6.0,38,48,5.9,"101,445",1 nomination,"$14,326,864",movie,Domestic
The Lorax,2012,"Animation, Adventure, Comedy",6.4,46/10,46,6.5,"133,071",4 wins & 8 nominations,"$214,494,550",movie,Foreign
Madagascar 3: Europe's Most Wanted,2012,"Animation, Adventure, Comedy",6.8,78,60,6.6,"201,908",3 wins & 20 nominations,"$216,391,482",movie,Foreign
The Odd Life of Timothy Green,2012,"Comedy, Drama, Family",6.6,36,47,7.0,"48,889",1 win & 8 nominations,"$51,854,875",movie,Foreign
ParaNorman,2012,"Animation, Adventure, Comedy",7.0,89,72,6.99,"111,168",Nominated for 1 Oscar. 19 wins & 46 nominations total,"$56,003,051",movie,Foreign
Premium Rush,2012,"Action, Thriller",6.5,75,66,6.3,"119,396",1 win & 4 nominations,"$20,275,446",movie,Foreign
The Raven,2012,"Crime, Mystery, Thriller",6.4,23,44,6.3,"88,621",5 nominations,"$16,008,272",movie,Foreign
Resident Evil: Retribution,2012,"Action, Horror, Sci-Fi",5.3,28,39,5.8,"151,906",2 wins & 6 nominations,"$42,345,531",movie,Foreign
Safe House,2012,"Action, Thriller",6.7,53,52,6.5,"239,549",1 win & 7 nominations,"$126,373,434",movie,Foreign
Silent Hill: Revelation,2012,"Horror, Mystery, Thriller",4.9,8,16,5.525,"67,332",8 nominations,"$17,529,157",movie,Foreign
Wanderlust,2012,"Comedy, Romance",5.6,59,53,5.5,"81,231",1 win,"$17,450,535",movie,Foreign
The Watch,2012,"Comedy, Sci-Fi",5.7,16,36,5.6,"133,807",2 nominations,"$35,353,000",movie,Foreign
Wrath of the Titans,2012,"Action, Adventure, Fantasy",5.7,26,37,5.7,"196,935",2 wins & 3 nominations,"$83,670,083",movie,Foreign
The Last Stand,2013,"Action, Thriller, Western",6.3,61,54,6.1,"146,183",1 win & 2 nominations,"$12,050,299",movie,Foreign
Snowpiercer,2013,"Action, Drama, Sci-Fi",7.1,94,84,6.906,"394,790",35 wins & 108 nominations,"$4,563,650",movie,Foreign
Stoker,2013,"Drama, Thriller",6.7,70,58,6.654,"115,511",7 wins & 42 nominations,"$1,714,221",movie,Domestic
Monsters University,2013,"Animation, Adventure, Comedy",7.2,80,65,7.041,"397,001",Nominated for 2 BAFTA 9 wins & 58 nominations total,"$268,492,764",movie,Foreign
Carrie,2013,"Drama, Horror, Thriller",5.8,50,53,6.037,"149,936",6 wins & 7 nominations,"$35,266,619",movie,Foreign
Despicable Me 2,2013,"Animation, Adventure, Comedy",7.3,75,62,6.93,"434,283",Nominated for 2 Oscars. 12 wins & 66 nominations total,"$368,065,385",movie,Foreign
