Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
124,tt13729648,2021-01-04,2021-01-04,,"Candy","Candy",https://www.imdb.com/title/tt13729648/,TV Mini Series,7.2,51,2022,"Biography, Crime, Drama, Mystery, Thriller",25249,2022-05-09,
125,tt12851512,2021-01-04,2021-01-04,,"The Girl from Plainville","The Girl from Plainville",https://www.imdb.com/title/tt12851512/,TV Mini Series,6.4,45,2022,"Biography, Crime, Drama, Mystery",8536,2022-03-29,
126,tt2788316,2021-01-04,2021-01-04,,"Shogun","Shogun",https://www.imdb.com/title/tt2788316/,TV Series,8.6,60,2024,"Adventure, Drama, History, War",183715,2024-02-27,
127,tt13623632,2021-01-04,2021-01-04,,"Alien: Earth","Alien: Earth",https://www.imdb.com/title/tt13623632/,TV Series,,,2025,"Horror, Sci-Fi, Thriller",0,2025,
128,tt10731032,2021-01-04,2021-01-04,,"Life & Beth","Life & Beth",https://www.imdb.com/title/tt10731032/,TV Series,6.7,30,2022,"Comedy, Drama",9853,2022-03-18,
129,tt11691774,2021-01-04,2021-01-04,,"Only Murders in the Building","Only Murders in the Building",https://www.imdb.com/title/tt11691774/,TV Series,8.1,30,2021,"Comedy, Crime, Drama, Mystery, Thriller",171363,2021-08-31,
130,tt13623580,2021-01-04,2021-01-04,,"Reservation Dogs","Reservation Dogs",https://www.imdb.com/title/tt13623580/,TV Series,8.3,30,2021,"Comedy, Crime",25605,2021-08-09,
131,tt10692610,2021-01-04,2021-01-04,,"The Hitchhiker's Guide to the Galaxy","The Hitchhiker's Guide to the Galaxy",https://www.imdb.com/title/tt10692610/,TV Series,,,,"Adventure, Comedy, Fantasy, Sci-Fi",0,,
132,tt9811118,2021-01-04,2021-01-04,,"M.O.D.O.K.","M.O.D.O.K.",https://www.imdb.com/title/tt9811118/,TV Series,6.4,22,2021,"Animation, Action, Comedy, Fantasy, Sci-Fi",6273,2021-05-21,
133,tt9811316,2021-01-04,2021-01-04,,"Hit-Monkey","Hit-Monkey",https://www.imdb.com/title/tt9811316/,TV Series,7.8,22,2021,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",9896,2021-11-17,
134,tt11997646,2021-01-04,2021-01-04,,"Conversations with Friends","Conversations with Friends",https://www.imdb.com/title/tt11997646/,TV Series,6.8,30,2022,"Drama, Romance",9589,2022-05-15,
135,tt5691552,2021-01-04,2021-01-04,,"The Orville","The Orville",https://www.imdb.com/title/tt5691552/,TV Series,8.0,44,2017,"Adventure, Comedy, Drama, Sci-Fi",102491,2017-09-10,
136,tt8004974,2021-01-04,2021-01-04,,"Bitches","Bitches",https://www.imdb.com/title/tt8004974/,TV Series,,,,"Comedy",0,,
